Master Name,Rows Collapsed Into It (incl. master)
Constellation Georgia Pie Pre-roll 1g,2
Freddy's Fuego Sub Zero Pre-roll 1g,2
Legacy Organics Larry Bird Kush Moon Rocks 3.5g,2
Flipside Grapefruit Romulan Disposable Cartridge 1g,2
Canna Organix Omguava Cartridge 1g,2
Phat Panda Grape Goji Disposable Cartridge 1g,2
Clarity Farms Kush Dreamz Cartridge 1g,2
Canna Organix Cereal Milk Infused Pre-roll 1g,2
Two Heads Jack Herer RSO 1g,2
Fire Bros Brew Ha Ha Live Resin 1g,2
Torus White Cherry Truffle Infused Pre-roll 1g,2
Snickle Fritz Tropical Slushie Cartridge 1g,2
Agro Couture Grape Stomper Cartridge 1g,2
Purple Cat Piss Live Resin 1g,2
Seattle Bubble Works Vanilla Latte Beverage 1floz,2
1937 Flyin Hawaiian Flower 3.5g,2
Phat Panda Lemon Cherry Gelato Cartridge 3g,2
Downtown Twisted Toast Live Resin 1g,2
Sub X Ether Pre-roll 1g,2
Mz. A Nyc Diesel Flower 1.5g,2
Svin Amaretto Sour Hash Rosin 1g,2
Trichome Super Lemon Haze Infused Pre-roll 4.5g,2
Stingers Master Kush Infused Pre-roll 1g,2
Journeyman Peppermint Mints 12g,2
Lifted Cannabis Grape Thron Rose Infused Pre-roll 1g,2
Greenleaf Mj Jokerz Pre-roll 2g,2
Fdg Lazy Llama Flower 3.5g,2
Legacy Organics Isodope Pre-roll 1g,2
Blaze Orange Cream Beverage 12floz,2
Green Reaper Gary Poppins Badder 1g,2
